name,link_id,from_cell_id,to_cell_id,length,lanes,free_speed,capacity,geometry,allowed_uses,number_of_micro_link
,17059,3782,3707,730.6866094498164,,,,"LINESTRING (120.39192607 31.37888065, 120.38456403 31.37426653)",auto;bike;walk,1
,17060,3232,3148,442.8711710451211,,,,"LINESTRING (120.34039175 31.3465818, 120.33302971 31.34196768)",auto;bike;walk,1
,17061,3147,3148,308.7130813336592,,,,"LINESTRING (120.32566766 31.34196768, 120.33302971 31.34196768)",auto;bike;walk,1
,17062,4188,4189,103.4517073840757,,,,"LINESTRING (120.54652902 31.40656538, 120.55389106 31.40656538)",auto;bike;walk,1
,17063,4189,4188,103.4517073840757,,,,"LINESTRING (120.55389106 31.40656538, 120.54652902 31.40656538)",auto;bike;walk,1
,17064,4188,4132,656.038335486334,,,,"LINESTRING (120.54652902 31.40656538, 120.55389106 31.40195126)",auto;bike;walk,1
,17065,4132,4188,656.0383354863341,,,,"LINESTRING (120.55389106 31.40195126, 120.54652902 31.40656538)",auto;bike;walk,1
,17066,4162,4163,170.40270621263576,,,,"LINESTRING (120.94407946 31.40195126, 120.9514415 31.40195126)",auto;bike;walk,1
,17067,4163,4162,170.40270621263576,,,,"LINESTRING (120.9514415 31.40195126, 120.94407946 31.40195126)",auto;bike;walk,1
,17068,486,538,1068.2876906997813,,,,"LINESTRING (120.53916698 31.14817459, 120.54652902 31.15278871)",auto;bike;walk,1
,17069,538,486,1068.2876906997813,,,,"LINESTRING (120.54652902 31.15278871, 120.53916698 31.14817459)",auto;bike;walk,1
,17070,431,486,1299.015644376662,,,,"LINESTRING (120.52444288 31.14356047, 120.53916698 31.14817459)",auto;bike;walk,1
,17071,486,431,1299.015644376662,,,,"LINESTRING (120.53916698 31.14817459, 120.52444288 31.14356047)",auto;bike;walk,1
,17072,2050,1970,1080.2521813945446,,,,"LINESTRING (120.45082243 31.27736998, 120.45818448 31.27275586)",auto;bike;walk,1
,17073,1970,2050,1080.2521813945446,,,,"LINESTRING (120.45818448 31.27275586, 120.45082243 31.27736998)",auto;bike;walk,1
,17074,2205,2049,1219.710637859583,,,,"LINESTRING (120.43609835 31.28659822, 120.44346039 31.27736998)",auto;bike;walk,1
,17075,2049,2205,1219.7106378595831,,,,"LINESTRING (120.44346039 31.27736998, 120.43609835 31.28659822)",auto;bike;walk,1
,17076,5781,5780,435.738505698869,,,,"LINESTRING (120.92199332 31.51269017, 120.91463128 31.51269017)",auto;bike;walk,1
,17077,5780,5781,435.73850569886906,,,,"LINESTRING (120.91463128 31.51269017, 120.92199332 31.51269017)",auto;bike;walk,1
,17078,5783,5784,654.3725797324322,,,,"LINESTRING (120.93671742 31.51269017, 120.94407946 31.51269017)",auto;bike;walk,1
,17079,5784,5783,654.3725797324322,,,,"LINESTRING (120.94407946 31.51269017, 120.93671742 31.51269017)",auto;bike;walk,1
,17080,5784,5717,767.8315984849055,,,,"LINESTRING (120.94407946 31.51269017, 120.9514415 31.50807605)",auto;bike;walk,1
,17081,5717,5784,767.8315984849055,,,,"LINESTRING (120.9514415 31.50807605, 120.94407946 31.51269017)",auto;bike;walk,1
,17082,5717,5641,349.58748900810974,,,,"LINESTRING (120.9514415 31.50807605, 120.9514415 31.50346192)",auto;bike;walk,1
,17083,5641,5717,349.58748900810974,,,,"LINESTRING (120.9514415 31.50346192, 120.9514415 31.50807605)",auto;bike;walk,1
,17084,6269,6193,543.7650296767492,,,,"LINESTRING (120.9514415 31.54498902, 120.9514415 31.54037489)",auto;bike;walk,1
,17085,6193,6269,543.7650296767492,,,,"LINESTRING (120.9514415 31.54037489, 120.9514415 31.54498902)",auto;bike;walk,1
,17086,5710,5709,133.09208282195593,,,,"LINESTRING (120.87782105 31.50807605, 120.87045901 31.50807605)",auto;bike;walk,1
,17087,5709,5710,133.09208282195593,,,,"LINESTRING (120.87045901 31.50807605, 120.87782105 31.50807605)",auto;bike;walk,1
,17088,5161,5227,905.3533540760541,,,,"LINESTRING (120.64223561 31.4757772, 120.63487356 31.48039132)",auto;bike;walk,1
,17089,5227,5161,905.3533540760542,,,,"LINESTRING (120.63487356 31.48039132, 120.64223561 31.4757772)",auto;bike;walk,1
,17090,5966,6029,448.9348181861577,,,,"LINESTRING (120.61278742 31.52653253, 120.61278742 31.53114665)",auto;bike;walk,1
,17091,6029,6095,520.7723752535184,,,,"LINESTRING (120.61278742 31.53114665, 120.61278742 31.53576077)",auto;bike;walk,1
,17092,6095,6243,797.1419212203498,,,,"LINESTRING (120.61278742 31.53576077, 120.61278742 31.54498902)",auto;bike;walk,1
,17093,6243,6095,798.5616332460216,,,,"LINESTRING (120.61278742 31.54498902, 120.61278742 31.53576077)",auto;bike;walk,1
,17094,6095,6029,516.8696483084838,,,,"LINESTRING (120.61278742 31.53576077, 120.61278742 31.53114665)",auto;bike;walk,1
,17095,6029,5966,447.4097209733919,,,,"LINESTRING (120.61278742 31.53114665, 120.61278742 31.52653253)",auto;bike;walk,1
,17096,1920,1839,201.8491111409596,,,,"LINESTRING (120.64959766 31.26814174, 120.64223561 31.26352762)",auto;bike;walk,1
,17097,1839,1920,173.01015722681797,,,,"LINESTRING (120.64223561 31.26352762, 120.64959766 31.26814174)",auto;bike;walk,1
,17098,1836,1835,250.9771409105053,,,,"LINESTRING (120.62014948 31.26352762, 120.61278742 31.26352762)",auto;bike;walk,1
,17099,4226,4227,444.5846365572289,,,,"LINESTRING (120.97352764 31.40656538, 120.98088968 31.40656538)",auto;bike;walk,1
,17100,4227,4226,444.5846365572289,,,,"LINESTRING (120.98088968 31.40656538, 120.97352764 31.40656538)",auto;bike;walk,1
,17101,922,921,749.3944437195261,,,,"LINESTRING (121.00297582 31.18508756, 120.99561378 31.18508756)",auto;bike;walk,1
,17102,921,922,514.917204992646,,,,"LINESTRING (120.99561378 31.18508756, 121.00297582 31.18508756)",auto;bike;walk,2
,17103,2948,2949,283.95098514166096,2.0,,,"LINESTRING (120.74530424 31.32812532, 120.75266629 31.32812532)",auto;bike;walk,3
,17104,2857,2858,190.75960185907604,,,,"LINESTRING (120.70849401 31.3235112, 120.71585606 31.3235112)",auto;bike;walk,2
,17105,2856,2855,83.442524118228,,,,"LINESTRING (120.70113197 31.3235112, 120.69376992 31.3235112)",auto;bike;walk,2
,17106,1838,1837,626.649541023038,,,,"LINESTRING (120.63487356 31.26352762, 120.62751152 31.26352762)",auto;bike;walk,1
,17107,2053,1974,333.53822675880565,,,,"LINESTRING (120.50235675 31.27736998, 120.49499471 31.27275586)",auto;bike;walk,1
,17108,1974,2053,333.53822675880565,,,,"LINESTRING (120.49499471 31.27275586, 120.50235675 31.27736998)",auto;bike;walk,1
,17109,2375,2304,286.7386127025546,,,,"LINESTRING (120.62751152 31.29582647, 120.62751152 31.29121235)",auto;bike;walk,5
,17110,2304,2375,286.7386127025546,,,,"LINESTRING (120.62751152 31.29121235, 120.62751152 31.29582647)",auto;bike;walk,5
,17111,2304,2305,226.05757683255058,,,,"LINESTRING (120.62751152 31.29121235, 120.63487356 31.29121235)",auto;bike;walk,3
,17112,2374,2304,287.37961470780374,,,,"LINESTRING (120.62014948 31.29582647, 120.62751152 31.29121235)",auto;bike;walk,1
,17113,2304,2374,287.37961470780374,,,,"LINESTRING (120.62751152 31.29121235, 120.62014948 31.29582647)",auto;bike;walk,1
,17114,2374,2447,81.74479578904844,,,,"LINESTRING (120.62014948 31.29582647, 120.62751152 31.30044059)",auto;bike;walk,1
,17115,2447,2374,81.74479578904844,,,,"LINESTRING (120.62751152 31.30044059, 120.62014948 31.29582647)",auto;bike;walk,1
,17116,2846,2930,191.80170979503112,,,,"LINESTRING (120.62014948 31.3235112, 120.61278742 31.32812532)",bike;walk,1
,17117,2930,2846,191.80170979503112,,,,"LINESTRING (120.61278742 31.32812532, 120.62014948 31.3235112)",bike;walk,1
,17118,3971,3903,675.8217108285119,,,,"LINESTRING (120.74530424 31.38810889, 120.75266629 31.38349477)",auto;bike;walk,1
,17119,3903,3971,675.821710828512,,,,"LINESTRING (120.75266629 31.38349477, 120.74530424 31.38810889)",auto;bike;walk,1
,17120,5609,5532,309.73682139190976,,,,"LINESTRING (120.64223561 31.50346192, 120.64959766 31.4988478)",auto;bike;walk,1
,17121,5532,5609,309.73682139190976,,,,"LINESTRING (120.64959766 31.4988478, 120.64223561 31.50346192)",auto;bike;walk,1
,17122,83,84,664.0870015920599,,,,"LINESTRING (120.69376992 31.1066475, 120.70113197 31.1066475)",auto;bike;walk,1
,17123,84,83,664.0870015920599,,,,"LINESTRING (120.70113197 31.1066475, 120.69376992 31.1066475)",auto;bike;walk,1
,17124,84,85,899.8376657396202,,,,"LINESTRING (120.70113197 31.1066475, 120.70849401 31.1066475)",auto;bike;walk,1
,17125,85,84,899.8376657396202,,,,"LINESTRING (120.70849401 31.1066475, 120.70113197 31.1066475)",auto;bike;walk,1
,17126,85,120,526.8580148401026,,,,"LINESTRING (120.70849401 31.1066475, 120.70849401 31.11126162)",auto;bike;walk,1
,17127,120,85,526.8580148401026,,,,"LINESTRING (120.70849401 31.11126162, 120.70849401 31.1066475)",auto;bike;walk,1
,17128,892,891,332.8693307073552,,,,"LINESTRING (120.63487356 31.18508756, 120.62751152 31.18508756)",auto;bike;walk,2
,17129,891,892,332.8693307073552,,,,"LINESTRING (120.62751152 31.18508756, 120.63487356 31.18508756)",auto;bike;walk,2
