name,cell_id,element,num_element,activity_type,ctrl_type,node_type,poi_id,x_coord,y_coord,boundary
,5656,36695;36702;36703;36706;36707;36708;36710;36711;36742;36743;39193;39194;39542;39543;39666;39667;39668;39692;43309;51427;51428;51430,22,residential;residential;residential;residential;residential;primary;cycleway;cycleway;primary;primary;service;secondary;primary;cycleway;residential;residential;residential;cycleway;secondary;residential;residential;residential,,,,120.36247789,31.50807605,"POLYGON ((120.35879687 31.51038311, 120.36615891 31.51038311, 120.36615891 31.50576899, 120.35879687 31.50576899, 120.35879687 31.51038311))"
,5657,3987;3991;5723;5724;39184;39186;39187;39188;39189;39190,10,primary;primary;primary;primary;primary;primary;secondary;primary;secondary;secondary,,,,120.36983993,31.50807605,"POLYGON ((120.36615891 31.51038311, 120.37352096 31.51038311, 120.37352096 31.50576899, 120.36615891 31.50576899, 120.36615891 31.51038311))"
,5658,41601;41602;51279;56884;56885,5,tertiary;tertiary;tertiary;residential;residential,,,,120.37720198,31.50807605,"POLYGON ((120.37352096 31.51038311, 120.380883 31.51038311, 120.380883 31.50576899, 120.37352096 31.50576899, 120.37352096 31.51038311))"
,5659,41603;41604;51274;51277,4,tertiary;unclassified;residential;residential,,,,120.38456403,31.50807605,"POLYGON ((120.380883 31.51038311, 120.38824505 31.51038311, 120.38824505 31.50576899, 120.380883 31.50576899, 120.380883 31.51038311))"
,5660,4125;4126;4127;5721;5722;5725;5726;5727;5728;9442;41609;41610;41611;41612,14,tertiary;trunk;trunk;secondary;secondary;secondary;secondary;tertiary;secondary;residential;secondary;secondary;secondary;secondary,,,,120.39192607,31.50807605,"POLYGON ((120.38824505 31.51038311, 120.39560709 31.51038311, 120.39560709 31.50576899, 120.38824505 31.50576899, 120.38824505 31.51038311))"
,5661,1746;4106;4107;4108;4109;4110;4111;4112;4113;4114;4115;4116;4117;4118;4119;4120;4121;4122;4123;4124;5729;44909;45235;45236;51288,25,residential;trunk;trunk;tertiary;trunk;tertiary;trunk;trunk;trunk;trunk;trunk;trunk;tertiary;trunk;tertiary;tertiary;tertiary;trunk;trunk;tertiary;secondary;residential;residential;residential;residential,,,,120.39928811,31.50807605,"POLYGON ((120.39560709 31.51038311, 120.40296914 31.51038311, 120.40296914 31.50576899, 120.39560709 31.50576899, 120.39560709 31.51038311))"
,5662,1734;1738;1749;4280;4281;4282;4284;45240;45241;45242;45243;45258;45259;53347;56677,15,residential;residential;residential;tertiary;tertiary;tertiary;tertiary;residential;residential;residential;residential;residential;residential;residential;residential,,,,120.40665016,31.50807605,"POLYGON ((120.40296914 31.51038311, 120.41033118 31.51038311, 120.41033118 31.50576899, 120.40296914 31.50576899, 120.40296914 31.51038311))"
,5663,4276;4278;4283;4287;4288;4289;4290;4292;4294;4296;45760;45761,12,tertiary;primary;primary;secondary;secondary;primary;tertiary;secondary;secondary;primary;residential;residential,,,,120.42137425,31.50807605,"POLYGON ((120.41769323 31.51038311, 120.42505527 31.51038311, 120.42505527 31.50576899, 120.41769323 31.50576899, 120.41769323 31.51038311))"
,5664,4277;4279;4285;4286;4291;4293;4295;4297;4298;4299;4300;4301;4302;4303;8838;9212;34225;34226;38425;38426;38427;45122;45123;52853;52854;52962;52963;52964;52965;52966;52967;52968;52969;52970;52971;52972;52973;52974;52975;52976;52977;52978;52979;52980;52981;52982;52983;52990,48,secondary;unclassified;secondary;secondary;tertiary;tertiary;tertiary;service;tertiary;tertiary;primary;primary;primary;primary;unclassified;service;primary;tertiary;secondary;tertiary;secondary;service;unclassified;unclassified;unclassified;service;tertiary;service;tertiary;service;service;service;service;service;service;service;service;service;service;service;service;unclassified;service;service;service;service;unclassified;service,,,,120.42873629,31.50807605,"POLYGON ((120.42505527 31.51038311, 120.43241732 31.51038311, 120.43241732 31.50576899, 120.42505527 31.50576899, 120.42505527 31.51038311))"
,5665,9213,1,service,,,,120.43609835,31.50807605,"POLYGON ((120.43241732 31.51038311, 120.43977937 31.51038311, 120.43977937 31.50576899, 120.43241732 31.50576899, 120.43241732 31.51038311))"
,5666,1434;5538;9219;15855;15856,5,tertiary;tertiary;service;service;service,,,,120.44346039,31.50807605,"POLYGON ((120.43977937 31.51038311, 120.44714141 31.51038311, 120.44714141 31.50576899, 120.43977937 31.50576899, 120.43977937 31.51038311))"
,5667,476;969;5539;5540,4,motorway;motorway;motorway;motorway,,,,120.45082243,31.50807605,"POLYGON ((120.44714141 31.51038311, 120.45450346 31.51038311, 120.45450346 31.50576899, 120.44714141 31.50576899, 120.44714141 31.51038311))"
,5668,1762;6104;6105;6106;55577,5,primary;primary;primary;primary;primary,,,,120.45818448,31.50807605,"POLYGON ((120.45450346 31.51038311, 120.4618655 31.51038311, 120.4618655 31.50576899, 120.45450346 31.50576899, 120.45450346 31.51038311))"
,5669,18627;35235;35268;35269,4,tertiary;residential;tertiary;track,,,,120.46554653,31.50807605,"POLYGON ((120.4618655 31.51038311, 120.46922755 31.51038311, 120.46922755 31.50576899, 120.4618655 31.50576899, 120.4618655 31.51038311))"
,5670,5536;5537;35234;35236,4,motorway;motorway;tertiary;residential,,,,120.47290857,31.50807605,"POLYGON ((120.46922755 31.51038311, 120.47658959 31.51038311, 120.47658959 31.50576899, 120.46922755 31.50576899, 120.46922755 31.51038311))"
,5671,8088;8095,2,unclassified;unclassified,,,,120.48027061,31.50807605,"POLYGON ((120.47658959 31.51038311, 120.48395164 31.51038311, 120.48395164 31.50576899, 120.47658959 31.50576899, 120.47658959 31.51038311))"
,5672,8092,1,unclassified,,,,120.48763266,31.50807605,"POLYGON ((120.48395164 31.51038311, 120.49131368 31.51038311, 120.49131368 31.50576899, 120.48395164 31.50576899, 120.48395164 31.51038311))"
,5673,8094,1,tertiary,,,,120.49499471,31.50807605,"POLYGON ((120.49131368 31.51038311, 120.49867573 31.51038311, 120.49867573 31.50576899, 120.49131368 31.50576899, 120.49131368 31.51038311))"
,5674,7792;7807;18615;18618;18624;44627;44628;44629,8,secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary,,,,120.50235675,31.50807605,"POLYGON ((120.49867573 31.51038311, 120.50603777 31.51038311, 120.50603777 31.50576899, 120.49867573 31.50576899, 120.49867573 31.51038311))"
,5675,40358;53935;53936;53937,4,service;service;service;residential,,,,120.50971879,31.50807605,"POLYGON ((120.50603777 31.51038311, 120.51339982 31.51038311, 120.51339982 31.50576899, 120.50603777 31.50576899, 120.50603777 31.51038311))"
,5676,40331;40332;40344;40345;40355;40356;40357;53939,8,service;service;service;service;service;service;service;service,,,,120.51708084,31.50807605,"POLYGON ((120.51339982 31.51038311, 120.52076186 31.51038311, 120.52076186 31.50576899, 120.51339982 31.50576899, 120.51339982 31.51038311))"
,5677,40317;40320;40321;40322;40325;40326;40327;40328;40329;40330;40341;40342;40343,13,unclassified;unclassified;service;service;unclassified;service;unclassified;unclassified;unclassified;service;unclassified;service;unclassified,,,,120.52444288,31.50807605,"POLYGON ((120.52076186 31.51038311, 120.52812391 31.51038311, 120.52812391 31.50576899, 120.52076186 31.50576899, 120.52076186 31.51038311))"
,5678,40316;40318;40323;40324;53839,5,unclassified;unclassified;service;service;unclassified,,,,120.53180493,31.50807605,"POLYGON ((120.52812391 31.51038311, 120.53548595 31.51038311, 120.53548595 31.50576899, 120.52812391 31.50576899, 120.52812391 31.51038311))"
,5679,8729;13331;44384;44385;44387;44388;44389;44390;44391;44392;44393;44394;44395;44396;44399;44400;44402;45597;45601;45602;45603;52025;52026,23,primary;primary;primary;cycleway;cycleway;cycleway;cycleway;cycleway;cycleway;cycleway;residential;primary;cycleway;residential;primary;primary;primary;residential;residential;residential;residential;primary;residential,,,,120.53916698,31.50807605,"POLYGON ((120.53548595 31.51038311, 120.542848 31.51038311, 120.542848 31.50576899, 120.53548595 31.50576899, 120.53548595 31.51038311))"
,5680,44397;44398;46759;46760;46761;46763;46764;46765;46767;46768;52027;52028;52031,13,residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,120.54652902,31.50807605,"POLYGON ((120.542848 31.51038311, 120.55021004 31.51038311, 120.55021004 31.50576899, 120.542848 31.50576899, 120.542848 31.51038311))"
,5681,32947;32949;46673;46674;46679;46680;46681;46682;46683;46685;46686;46687;46688;46689;46690;46691;46694;46775;52030;52032;52036,21,unclassified;unclassified;residential;residential;residential;unclassified;residential;residential;residential;residential;residential;track;track;track;track;track;track;unclassified;residential;residential;residential,,,,120.55389106,31.50807605,"POLYGON ((120.55021004 31.51038311, 120.55757209 31.51038311, 120.55757209 31.50576899, 120.55021004 31.50576899, 120.55021004 31.51038311))"
,5682,32948;46684;46774;46779;46780;46781;46782,7,unclassified;residential;unclassified;unclassified;residential;residential;residential,,,,120.56125311,31.50807605,"POLYGON ((120.55757209 31.51038311, 120.56493413 31.51038311, 120.56493413 31.50576899, 120.55757209 31.50576899, 120.55757209 31.51038311))"
,5683,51699,1,residential,,,,120.56861516,31.50807605,"POLYGON ((120.56493413 31.51038311, 120.57229618 31.51038311, 120.57229618 31.50576899, 120.56493413 31.50576899, 120.56493413 31.51038311))"
,5684,51630;51631,2,residential;residential,,,,120.5759772,31.50807605,"POLYGON ((120.57229618 31.51038311, 120.57965822 31.51038311, 120.57965822 31.50576899, 120.57229618 31.50576899, 120.57229618 31.51038311))"
,5685,51628;52038;52039,3,residential;residential;residential,,,,120.58333924,31.50807605,"POLYGON ((120.57965822 31.51038311, 120.58702027 31.51038311, 120.58702027 31.50576899, 120.57965822 31.50576899, 120.57965822 31.51038311))"
,5686,32985;51626;51627,3,secondary;residential;secondary,,,,120.59070129,31.50807605,"POLYGON ((120.58702027 31.51038311, 120.59438231 31.51038311, 120.59438231 31.50576899, 120.58702027 31.50576899, 120.58702027 31.51038311))"
