name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,38127,5951977127,,,,,footway,1,120.6602748,31.142131,,,
,38128,5951977145,,,,,primary,0,120.65916,31.1424819,,,
,38129,5951977147,,,,,footway,0,120.6603129,31.1436919,,,
,38130,5951977150,,,,,footway,0,120.6613077,31.1430169,,,
,38131,5951977151,,,,,footway,0,120.6598665,31.1431358,,,
,38132,5951977152,,,,,primary,0,120.6562003,31.1450269,,,
,38133,5951977164,,,,,tertiary,0,120.6584604,31.1401061,,,
,38134,5951977165,,,,,unclassified,1,120.6587544,31.1394055,,,
,38135,5951977178,,,,,service,0,120.6612162,31.1385404,,,
,38136,5951977179,,,,,primary,0,120.6611585,31.139545,,,
,38137,5951977185,,,,,service,1,120.6604787,31.1393836,,,
,38138,5951977186,,,,,service,0,120.6609102,31.1385475,,,
,38139,5951977187,,,,,tertiary,0,120.6619471,31.1371328,,,
,38140,5951977196,,,,,service,0,120.6611886,31.1388854,,,
,38141,5951977205,,,,,tertiary,0,120.6607725,31.1367999,,,
,38142,5951977212,,,,,service,0,120.6605424,31.1370818,,,
,38143,5951977214,,,,,service,0,120.659848,31.1378871,,,
,38144,5951977215,,,,,service,0,120.6588988,31.1373435,,,
,38145,5951977216,,,,,service,0,120.6586629,31.1376734,,,
,38146,5951977217,,,,,service,0,120.6595997,31.1381835,,,
,38147,5951977218,,,,,service,0,120.6590803,31.1370896,,,
,38148,5951977219,,,,,service,0,120.66004,31.1376577,,,
,38149,5951977226,,,,,footway,1,120.6620157,31.1405862,,,
,38150,5951977227,,,,,footway,0,120.6615762,31.1407428,,,
,38151,5951977228,,,,,primary,0,120.6613511,31.1395048,,,
,38152,5951977269,,,,,secondary,0,120.6604695,31.1486347,,,
,38153,5951977270,,,,,tertiary,0,120.6592903,31.1468607,,,
,38154,5951977271,,,,,secondary,0,120.6630235,31.1479749,,,
,38155,5951977280,,,,,tertiary,0,120.6568371,31.1492973,,,
,38156,5951977284,,,,,tertiary,1,120.656272,31.1521112,,,
,38157,5951977394,,,,,secondary,0,120.6702475,31.1437881,,,
,38158,5951977398,,,,,primary,0,120.6702061,31.1436749,,,
,38159,5951977399,,,,,secondary,0,120.6690533,31.1456248,,,
,38160,5951977408,,,,,primary,0,120.6685117,31.1435664,,,
,38161,5951977411,,,,,service,0,120.6633115,31.1423131,,,
,38162,5951977412,,,,,service,0,120.661988,31.142007,,,
,38163,5951977423,,,,,tertiary,0,120.6549096,31.1395393,,,
,38164,5951977424,,,,,tertiary,0,120.6551985,31.1394003,,,
,38165,5951977439,,,,,service,0,120.6645089,31.1423337,,,
,38166,5951977440,,,,,service,0,120.6671256,31.1429855,,,
,38167,5951977442,,,,,primary,0,120.6687055,31.1433166,,,
,38168,5951977456,,,,,residential,0,120.6749495,31.1424807,,,
,38169,5951977457,,,,,primary,0,120.6751463,31.1436956,,,
,38170,5951977458,,,,,secondary,0,120.6751414,31.1438205,,,
,38171,5951977461,turning_circle,,,,unclassified,1,120.6703416,31.1457027,,,
,38172,5951977462,,,,,unclassified,0,120.6712298,31.1456962,,,
,38173,5951977468,,,,,secondary,0,120.6746381,31.1505795,,,
,38174,5951977469,,,,,unclassified,0,120.6741295,31.1505754,,,
,38175,5951977471,,,,,unclassified,0,120.6712365,31.1464133,,,
,38176,5951977476,,,,,tertiary,0,120.6749558,31.1460058,,,
,38177,5951977479,,,,,secondary,0,120.6745952,31.1523181,,,
,38178,5951977480,,,,,tertiary,0,120.6744453,31.1552236,,,
,38179,5951977481,,,,,unclassified,0,120.6744916,31.1568552,,,
,38180,5951977482,,,,,tertiary,0,120.6744681,31.16083,,,
,38181,5951977502,,,,,tertiary,0,120.6744843,31.1580959,,,
,38182,5951977548,,,,,secondary,0,120.6722852,31.1523401,,,
,38183,5951977549,,,,,residential,1,120.6723095,31.1545963,,,
,38184,5951977599,,,,,tertiary,0,120.6793912,31.1483086,,,
,38185,5951977600,,,,,secondary,0,120.6853655,31.1482994,,,
,38186,5951977601,,,,,tertiary,0,120.6902158,31.1482919,,,
,38187,5951977655,,,,,primary,0,120.6745113,31.1636985,,,
,38188,5951977666,,,,,secondary,0,120.65886,31.1502728,,,
,38189,5951977670,,,,,secondary,0,120.6658714,31.1396701,,,
,38190,5951977671,,,,,tertiary,0,120.6788873,31.1424555,,,
,38191,5951977672,,,,,residential,1,120.6717419,31.1425058,,,
,38192,5951977677,,,,,residential,0,120.6752832,31.1424798,,,
,38193,5951977681,,,,,tertiary,0,120.6786816,31.1435522,,,
,38194,5951977682,,,,,tertiary,0,120.6785978,31.1439771,,,
,38195,5951977689,,,,,secondary,0,120.6750521,31.1448721,,,
,38196,5951977690,,,,,secondary,0,120.6749136,31.1448576,,,
,38197,5951977706,,,,,secondary,0,120.6685293,31.1463228,,,
,38198,5951977707,,,,,footway,1,120.6782727,31.1440795,,,
,38199,5951977711,,,,,footway,0,120.6783672,31.1439177,,,
,38200,5951977712,,,,,footway,0,120.6803616,31.1438792,,,
,38201,5951977716,,,,,footway,1,120.6805101,31.1440487,,,
,38202,5951977717,,,,,footway,1,120.6783852,31.1434168,,,
,38203,5951977721,,,,,footway,0,120.6783402,31.1436056,,,
,38204,5951977722,,,,,footway,0,120.680339,31.1436172,,,
,38205,5951977726,,,,,footway,1,120.6804471,31.1433976,,,
,38206,5951977727,,,,,tertiary,0,120.6841162,31.1435439,,,
,38207,5951977728,,,,,primary,0,120.6844764,31.1436848,,,
,38208,5951977729,,,,,primary,0,120.6844079,31.1437761,,,
,38209,5951977730,,,,,tertiary,0,120.6840982,31.1439109,,,
,38210,5951977762,,,,,secondary,0,120.6577561,31.1066697,,,
,38211,5951977763,,,,,tertiary,0,120.6635446,31.1066942,,,
,38212,5951978333,,,,,tertiary,0,120.6785293,31.1119491,,,
,38213,5951978334,,,,,tertiary,0,120.6785071,31.115577,,,
,38214,5951978335,,,,,residential,1,120.6785399,31.1174065,,,
,38215,5951978340,,,,,primary,0,120.6770502,31.1117984,,,
,38216,5952106695,,,,,service,1,120.5960513,31.1170531,,,
,38217,5952106702,,,,,tertiary,0,120.6008641,31.1178402,,,
,38218,5952106712,,,,,service,1,120.5925949,31.1191249,,,
,38219,5952106718,,,,,tertiary,0,120.5909711,31.1240537,,,
,38220,5952106731,,,,,tertiary,0,120.5911023,31.1244172,,,
,38221,5952106735,,,,,primary,0,120.6008281,31.1235348,,,
,38222,5952106736,,,,,tertiary,0,120.6000675,31.1232611,,,
,38223,5952106737,,,,,tertiary,0,120.6007002,31.1233918,,,
,38224,5952106738,,,,,tertiary,0,120.600862,31.1234057,,,
,38225,5952106739,,,,,secondary,0,120.6078374,31.1241175,,,
,38226,5952106740,,,,,secondary,0,120.6081213,31.1241374,,,
,38227,5952106741,,,,,tertiary,0,120.6127395,31.124217,,,
,38228,5952106742,,,,,primary,0,120.6189733,31.1243164,,,
,38229,5952106743,,,,,primary,0,120.6192433,31.1243274,,,
,38230,5952106934,,,,,service,0,120.5784697,31.1168953,,,
,38231,5952106956,,,,,service,0,120.5768644,31.1167776,,,
,38232,5952106957,,,,,service,1,120.5763282,31.1162877,,,
,38233,5952107021,,,,,primary,0,120.5857292,31.1315022,,,
,38234,5952107022,,,,,tertiary,0,120.5852224,31.1369995,,,
,38235,5952107024,,,,,footway,0,120.5786299,31.1338111,,,
,38236,5952107184,,,,,primary,0,120.6076053,31.1573903,,,
,38237,5952107187,,,,,tertiary,0,120.6057378,31.1474675,,,
,38238,5952107189,,,,,primary,0,120.6072875,31.1574253,,,
,38239,5952107198,,,,,secondary,0,120.6175533,31.1717019,,,
,38240,5952107199,,,,,secondary,0,120.6284751,31.1718993,,,
,38241,5952107200,,,,,tertiary,0,120.6233886,31.171879,,,
,38242,5952107201,,,,,residential,0,120.6210293,31.1718332,,,
,38243,5952107205,,,,,secondary,0,120.6111251,31.1652582,,,
,38244,5952107214,,,,,secondary,0,120.6059447,31.1473664,,,
,38245,5952107215,,,,,secondary,0,120.61062,31.1475937,,,
,38246,5952107216,,,,,tertiary,0,120.6145583,31.1478342,,,
,38247,5952107231,,,,,tertiary,0,120.588476,31.1373255,,,
,38248,5952107232,,,,,tertiary,0,120.588487,31.1372245,,,
,38249,5952107233,,,,,primary,0,120.5889457,31.1317238,,,
,38250,5952107234,,,,,primary,0,120.5890463,31.1315012,,,
,38251,5952107235,,,,,tertiary,1,120.5891127,31.1304805,,,
,38252,5952107236,,,,,tertiary,1,120.5889115,31.1304746,,,
,38253,5952107237,,,,,tertiary,0,120.5921706,31.1459922,,,
,38254,5952107238,,,,,tertiary,0,120.5921844,31.1458262,,,
,38255,5952107239,,,,,secondary,0,120.5924387,31.1427649,,,
,38256,5952107240,,,,,secondary,0,120.5924487,31.1426444,,,
