name,cell_id,element,num_element,activity_type,ctrl_type,node_type,poi_id,x_coord,y_coord,boundary
,5827,4867;12032,2,residential;residential,,,,-111.80097727,33.42042907,"POLYGON ((-111.80296874 33.42139177, -111.7989858 33.42139177, -111.7989858 33.41946636, -111.80296874 33.41946636, -111.80296874 33.42139177))"
,5828,4868;21314;30734,3,residential;residential;residential,,,,-111.79699433,33.42042907,"POLYGON ((-111.7989858 33.42139177, -111.79500285 33.42139177, -111.79500285 33.41946636, -111.7989858 33.41946636, -111.7989858 33.42139177))"
,5829,5034;9762;19787;19788,4,residential;residential;residential;residential,,,,-111.79301138,33.42042907,"POLYGON ((-111.79500285 33.42139177, -111.79101991 33.42139177, -111.79101991 33.41946636, -111.79500285 33.41946636, -111.79500285 33.42139177))"
,5830,5035;9763;19789;33495;37807;37809;37811;37815;37816,9,residential;residential;residential;secondary;secondary;secondary;secondary;secondary;secondary,,,,-111.78902844,33.42042907,"POLYGON ((-111.79101991 33.42139177, -111.78703697 33.42139177, -111.78703697 33.41946636, -111.79101991 33.41946636, -111.79101991 33.42139177))"
,5831,4227;4228;25803;30526,4,residential;residential;residential;residential,,,,-111.78106256,33.42042907,"POLYGON ((-111.78305403 33.42139177, -111.77907108 33.42139177, -111.77907108 33.41946636, -111.78305403 33.41946636, -111.78305403 33.42139177))"
,5832,4778;9750;11345;11346,4,residential;residential;residential;residential,,,,-111.77707961,33.42042907,"POLYGON ((-111.77907108 33.42139177, -111.77508814 33.42139177, -111.77508814 33.41946636, -111.77907108 33.41946636, -111.77907108 33.42139177))"
,5833,4779;4780;4781;4782;4783;9751;11417;11418;25497;25498,10,residential;residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.77309667,33.42042907,"POLYGON ((-111.77508814 33.42139177, -111.7711052 33.42139177, -111.7711052 33.41946636, -111.77508814 33.41946636, -111.77508814 33.42139177))"
,5834,3250,1,secondary,,,,-111.76911373,33.42042907,"POLYGON ((-111.7711052 33.42139177, -111.76712226 33.42139177, -111.76712226 33.41946636, -111.7711052 33.41946636, -111.7711052 33.42139177))"
,5835,1841;1842;1843;1844;1845;25130;25131;25132;25135;25136;25137;32271,12,residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.74521608,33.42042907,"POLYGON ((-111.74720755 33.42139177, -111.74322461 33.42139177, -111.74322461 33.41946636, -111.74720755 33.41946636, -111.74720755 33.42139177))"
,5836,25117;25118;25119;25120;25121;25122;25123;25139;25140;32272,10,residential;residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.74123314,33.42042907,"POLYGON ((-111.74322461 33.42139177, -111.73924166 33.42139177, -111.73924166 33.41946636, -111.74322461 33.41946636, -111.74322461 33.42139177))"
,5837,45849;45850,2,secondary;secondary,,,,-111.73725019,33.42042907,"POLYGON ((-111.73924166 33.42139177, -111.73525872 33.42139177, -111.73525872 33.41946636, -111.73924166 33.41946636, -111.73924166 33.42139177))"
,5838,9129,1,residential,,,,-111.72530137,33.42042907,"POLYGON ((-111.72729284 33.42139177, -111.7233099 33.42139177, -111.7233099 33.41946636, -111.72729284 33.41946636, -111.72729284 33.42139177))"
,5839,9128;13744;13745;13746;16522;22070;32229;50874;50875;50876;50877;50878;50884;50887;50888;50889;50890;50891;50892;50893;50894;50895;50896;50897,24,residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.72131842,33.42042907,"POLYGON ((-111.7233099 33.42139177, -111.71932695 33.42139177, -111.71932695 33.41946636, -111.7233099 33.41946636, -111.7233099 33.42139177))"
,5840,4791;9743;9744;32065;32068;32070;32071;32072;32073;32074;50885;50886,12,residential;secondary;residential;residential;residential;residential;residential;residential;residential;residential;secondary;secondary,,,,-111.71733548,33.42042907,"POLYGON ((-111.71932695 33.42139177, -111.71534401 33.42139177, -111.71534401 33.41946636, -111.71932695 33.41946636, -111.71932695 33.42139177))"
,5841,4792;9745,2,residential;tertiary,,,,-111.7093696,33.42042907,"POLYGON ((-111.71136107 33.42139177, -111.70737813 33.42139177, -111.70737813 33.41946636, -111.71136107 33.41946636, -111.71136107 33.42139177))"
,5842,4789;9742;9878;22792,4,residential;residential;residential;residential,,,,-111.70538666,33.42042907,"POLYGON ((-111.70737813 33.42139177, -111.70339519 33.42139177, -111.70339519 33.41946636, -111.70737813 33.41946636, -111.70737813 33.42139177))"
